UDF,RK,PC,RD,type,is_np,mean,std,q1,median,q3
10_intersect_np,3,4.5,3,10_intersect,True,363.1737114752966,4.397620148158041,359.6722841600558,365.1472891302261,366.70789951951656
10_intersect_pp,3,4.5,3,10_intersect,False,202.57428328815007,2.975650343835381,200.28620708169552,202.94569683033598,204.8458085044512
16_large_agg_fp,3,4.5,3,16_large_agg,False,173.49354852151654,1.0827880342528389,172.6586390359244,173.33880057228555,174.38971628264386
16_large_agg_np,3,4.5,3,16_large_agg,True,237.1136897947505,0.5815928054953368,236.45974564722758,237.2299258007678,237.59073874127134
17_left_join_np,3,4.5,3,17_left_join,True,234.79989216603093,3.5272285568074135,234.4828186403807,235.90439835905875,236.55059992506244
17_left_join_pp,3,4.5,3,17_left_join,False,148.86905063033373,1.985614162254216,146.92929476228878,149.1827093263085,150.27822552361846
18_merge_join_np,3,4.5,3,18_merge_join,True,107.07409964360912,3.2486592146964672,103.81413379134344,107.29741596699688,109.43481530959406
18_merge_join_pp,3,4.5,3,18_merge_join,False,60.21960767452265,1.4971291789579055,59.443649797700346,60.22670339500996,60.594054094988294
20_nested_loops_np,3,4.5,3,20_nested_loops,True,105.59614412180693,2.2133427173929276,103.68993043711389,105.31686489947158,106.9820408944657
20_nested_loops_pp,3,4.5,3,20_nested_loops,False,59.6178603638766,0.6745193571893605,59.26971949250915,59.853670416589296,60.146541610374115
