UDF,RK,PC,RD,mean,std,q1,median,q3
17_left_join_np,3,3.0,1,113.91988433510497,1.7466498646137567,112.80110229199286,114.44938542693853,115.57330228961074
17_left_join_pp,3,3.0,1,72.83760877731515,1.087839581710767,72.15472207497805,72.80145306698978,73.61567705633489
17_left_join_np,3,3.0,3,239.56105843468345,4.765074936105576,234.8116035705817,239.62217812612653,244.9613414674518
17_left_join_pp,3,3.0,3,147.228355785563,2.058094388753056,145.3038399409727,147.5784637797624,149.33138139525903
17_left_join_np,3,3.0,6,414.082677727686,1.1933547125040742,412.9839849517408,414.04334292553744,415.4176349375334
17_left_join_pp,3,3.0,6,269.7232236080476,2.971012214761645,268.47766310750865,270.0093436069547,272.26554292594096
17_left_join_np,3,3.0,9,523.545720194747,1.9227439958395092,522.0252451275776,523.1767095025377,524.543454822546
17_left_join_pp,3,3.0,9,333.2134578317505,1.2074387745187947,332.8054173075178,333.3512855554227,333.7258437694816
17_left_join_np,3,4.5,1,113.30167976974337,0.6262222985311755,112.76346234784754,113.05415725510494,113.82604474790755
17_left_join_pp,3,4.5,1,71.47500388874731,0.23985218626537066,71.28958967100867,71.50155479647219,71.62243149902989
17_left_join_np,3,4.5,3,234.79989216603093,3.5272285568074135,234.4828186403807,235.90439835905875,236.55059992506244
17_left_join_pp,3,4.5,3,148.86905063033373,1.985614162254216,146.92929476228878,149.1827093263085,150.27822552361846
17_left_join_np,3,4.5,6,422.1256472791637,9.265097767177815,414.4579358799759,424.31512501490744,430.62603318482365
17_left_join_pp,3,4.5,6,264.2828780240106,1.6291290461880796,262.41748283930707,264.98885514557975,265.54692287537523
17_left_join_np,3,4.5,9,527.2837057500667,2.3294554179027096,525.8310831405156,527.0662219872183,528.165439387356
17_left_join_pp,3,4.5,9,334.2911534333245,2.7911811263093402,331.49619658213146,333.8649395025694,336.1630451406808
17_left_join_np,3,6.0,1,114.6392273219867,1.2439943720080628,113.29909300431608,114.81283604340318,115.244344628416
17_left_join_pp,3,6.0,1,73.99992773883123,0.5161063138792197,73.57599101960659,73.7674408189526,74.41267681314378
17_left_join_np,3,6.0,3,246.6682182293428,6.588674059193588,240.06365162786096,245.9693026871999,252.10760481590418
17_left_join_pp,3,6.0,3,145.7699700589157,0.5689933535933638,145.4686330138311,145.85285043902695,146.15277522150427
17_left_join_np,3,6.0,6,416.77281877601297,1.980751389651513,415.44941116003815,417.1382988854333,418.6081904539801
17_left_join_pp,3,6.0,6,261.5787342374876,1.5990732973726784,260.5977581677526,261.44354459796523,262.34977769938723
17_left_join_np,3,6.0,9,525.6413353637756,8.116494098644944,520.6436245460126,523.1798681733605,534.5720112123092
17_left_join_pp,3,6.0,9,335.43221625483596,4.97819474794466,331.50062084480567,334.3837885148823,338.9848993291267
