UDF,RK,PC,RD,type,is_np,mean,std,q1,median,q3
10_intersect_np,3,6.0,9,10_intersect,True,839.0870530332043,2.2422839532836094,837.7010565162508,838.9359136122758,840.3825691537932
10_intersect_pp,3,6.0,9,10_intersect,False,501.7535852257913,1.2611926693196387,501.1145074146084,501.80240083652586,502.7157331747825
16_large_agg_fp,3,6.0,9,16_large_agg,False,357.77531284103134,2.925615679091186,356.11259174863744,357.4183405606387,360.0803657613881
16_large_agg_np,3,6.0,9,16_large_agg,True,567.942871322994,6.692622483520893,564.6705064108637,568.9155667724592,573.2770771907417
17_left_join_np,3,6.0,9,17_left_join,True,525.6413353637756,8.116494098644944,520.6436245460126,523.1798681733605,534.5720112123092
17_left_join_pp,3,6.0,9,17_left_join,False,335.43221625483596,4.97819474794466,331.50062084480567,334.3837885148823,338.9848993291267
18_merge_join_np,3,6.0,9,18_merge_join,True,230.79795496660063,2.7396152512405085,228.99435602923015,230.47744502329238,231.81735513553974
18_merge_join_pp,3,6.0,9,18_merge_join,False,125.2279215570645,3.2727989761384038,123.38718573877205,126.08354286024206,127.57731562498816
20_nested_loops_np,3,6.0,9,20_nested_loops,True,234.52294086839186,4.857317806014724,231.5926211472546,235.0938238350255,238.0993003892473
20_nested_loops_pp,3,6.0,9,20_nested_loops,False,122.28344718905801,0.9690362406404857,121.89947199221167,122.18132270608862,122.78585789632052
