UDF,RK,PC,RD,mean,std,q1,median,q3
16_large_agg_fp,3,3.0,9,378.94458211793824,3.4381376084188013,378.3119281628598,380.1397517123843,381.16661298213677
16_large_agg_np,3,3.0,9,567.8641773840288,3.117525568365979,565.0155740942176,568.9800088850502,570.7047239122828
16_large_agg_fp,4,3.0,9,376.73961947870635,3.7504594587943325,373.3819833416492,375.6176688076297,380.5332351981099
16_large_agg_np,4,3.0,9,565.7344921503975,1.9811249965281557,564.905190071217,566.1351522004367,567.2422363806859
16_large_agg_fp,5,3.0,9,401.67187517657874,4.045170847082195,398.80403018556535,400.7865087836981,405.1824417887256
16_large_agg_np,5,3.0,9,577.9095146164298,5.351326660322793,572.8691369155422,576.5756495855749,582.7542993007228
16_large_agg_fp,3,4.5,9,368.9687866180356,4.020578355143945,365.86187708551427,368.81386040654115,373.1793406273168
16_large_agg_np,3,4.5,9,568.0922993549121,3.783399845165806,564.1085325871121,567.8983353903684,571.2263408494418
16_large_agg_fp,4,4.5,9,366.2610972224796,3.5755004011339886,363.59777787802176,365.2370570770783,368.1229943495678
16_large_agg_np,4,4.5,9,568.3279369725699,2.582562058959599,567.6409980059454,569.4172115520078,570.1826242259502
16_large_agg_fp,5,4.5,9,404.4210286013782,11.456208528500943,394.60137959010893,404.5670673549175,415.81609980296344
16_large_agg_np,5,4.5,9,583.168443396315,8.350456013490653,575.6994403162971,583.7396281473339,591.1374100465328
16_large_agg_fp,3,6.0,9,357.77531284103134,2.925615679091186,356.11259174863744,357.4183405606387,360.0803657613881
16_large_agg_np,3,6.0,9,567.942871322994,6.692622483520893,564.6705064108637,568.9155667724592,573.2770771907417
16_large_agg_fp,4,6.0,9,358.48520131149814,4.055484744107689,355.0938549579034,358.6436057332903,362.5540555601968
16_large_agg_np,4,6.0,9,559.4054317219504,3.0685442401154877,556.5509579887962,558.6636318222679,561.6145763330863
16_large_agg_fp,5,6.0,9,411.9840255626593,3.346809816630864,409.39850466609704,411.64085156256334,413.4098900959258
16_large_agg_np,5,6.0,9,594.1798819897709,3.2447730189488437,592.9225169774145,594.9028808036792,596.2952492387074
