UDF,RK,PC,RD,type,is_np,mean,std,q1,median,q3
10_intersect_np,3,6.0,3,10_intersect,True,383.33242864185723,11.433595088982681,376.8243944114074,380.05013006925583,391.05071366486413
10_intersect_pp,3,6.0,3,10_intersect,False,206.8373073511317,0.5749654683615484,206.5133926171178,206.78808447749668,207.1013163240122
16_large_agg_fp,3,6.0,3,16_large_agg,False,172.94676267070275,0.6330731530497764,172.41187474131584,172.8612599142695,173.3510920131827
16_large_agg_np,3,6.0,3,16_large_agg,True,237.10171684147235,0.5462218986800923,236.6228242041543,237.1320058018386,237.5862056038289
17_left_join_np,3,6.0,3,17_left_join,True,246.6682182293428,6.588674059193588,240.06365162786096,245.9693026871999,252.10760481590418
17_left_join_pp,3,6.0,3,17_left_join,False,145.7699700589157,0.5689933535933638,145.4686330138311,145.85285043902695,146.15277522150427
18_merge_join_np,3,6.0,3,18_merge_join,True,111.01542242723828,1.2519358091328745,110.241624686867,110.49245589199819,111.26697376742959
18_merge_join_pp,3,6.0,3,18_merge_join,False,60.717964839100944,0.4478447249048403,60.46450464061826,60.5845437515527,60.85166228674154
20_nested_loops_np,3,6.0,3,20_nested_loops,True,110.41838087347585,1.6217860085230937,108.98588674794883,110.31108324415982,111.44201731742879
20_nested_loops_pp,3,6.0,3,20_nested_loops,False,59.965396019717915,0.4255613052484224,59.77024602238089,59.91405784897506,60.177746326262046
