UDF,RK,PC,RD,type,is_np,mean,std,q1,median,q3
10_intersect_np,3,4.5,9,10_intersect,True,844.9423449574662,1.8146920567296516,843.6739301106059,844.7741536413171,846.5812385527599
10_intersect_pp,3,4.5,9,10_intersect,False,503.5548000726066,2.1669163449955615,502.0123729479702,502.51671056127407,504.6109174310344
16_large_agg_fp,3,4.5,9,16_large_agg,False,368.9687866180356,4.020578355143945,365.86187708551427,368.81386040654115,373.1793406273168
16_large_agg_np,3,4.5,9,16_large_agg,True,568.0922993549121,3.783399845165806,564.1085325871121,567.8983353903684,571.2263408494418
17_left_join_np,3,4.5,9,17_left_join,True,527.2837057500667,2.3294554179027096,525.8310831405156,527.0662219872183,528.165439387356
17_left_join_pp,3,4.5,9,17_left_join,False,334.2911534333245,2.7911811263093402,331.49619658213146,333.8649395025694,336.1630451406808
18_merge_join_np,3,4.5,9,18_merge_join,True,230.9516715408442,2.673512336218108,229.47628669897063,230.5799318410609,231.53347486381807
18_merge_join_pp,3,4.5,9,18_merge_join,False,122.90430538890236,0.8987685135097421,122.13095773388201,123.1040691157911,123.66629470977932
20_nested_loops_np,3,4.5,9,20_nested_loops,True,228.87496872389988,2.742015019320027,227.66983477119356,229.13099224340107,230.9726096023735
20_nested_loops_pp,3,4.5,9,20_nested_loops,False,123.49432196388705,1.5501337233986092,122.5206104655485,123.31016658619046,124.40611875689648
