UDF,RK,PC,RD,type,is_np,mean,std,q1,median,q3
10_intersect_np,4,6.0,3,10_intersect,True,351.02556473084564,12.477817085940707,341.2012748043309,343.8060016016267,362.9870145944139
10_intersect_pp,4,6.0,3,10_intersect,False,195.318266533937,1.4220504475756248,194.55039044032776,195.26141297843643,195.942311658524
16_large_agg_fp,4,6.0,3,16_large_agg,False,173.6264302400195,3.2948241312077164,170.67366561409165,173.9446232777653,176.49891355303487
16_large_agg_np,4,6.0,3,16_large_agg,True,234.286932148146,6.197038775672644,228.16322314080395,235.07971030485572,237.08217685022657
17_left_join_np,4,6.0,3,17_left_join,True,231.9515726560066,1.8504108043915335,230.79453768632732,232.35790649733036,233.61936380974612
17_left_join_pp,4,6.0,3,17_left_join,False,141.49427710290254,2.3505860054156655,139.15088584262358,141.57328737778175,143.08315156000316
18_merge_join_np,4,6.0,3,18_merge_join,True,112.75007924602102,1.495911556913143,111.63243336513439,111.78753132717739,114.17788593011781
18_merge_join_pp,4,6.0,3,18_merge_join,False,60.73726966477524,1.3223745466329027,59.554297795057245,61.45353097169862,61.59356991294661
20_nested_loops_np,4,6.0,3,20_nested_loops,True,104.48052946810779,1.1840948516465626,103.31668221832808,104.71108864552936,105.53764233774587
20_nested_loops_pp,4,6.0,3,20_nested_loops,False,59.79407675253631,0.95454806380929,59.2249028008757,59.73208469658942,60.50202127805919
