UDF,RK,PC,RD,type,is_np,mean,std,q1,median,q3
10_intersect_np,5,4.5,1,10_intersect,True,144.16043122299016,7.8619732953710955,139.91247296426445,141.35442313551903,143.3852712335065
10_intersect_pp,5,4.5,1,10_intersect,False,26.696452768985182,6.261704994623584,23.862362612970173,24.02702495828271,25.347126587294042
16_large_agg_fp,5,4.5,1,16_large_agg,False,31.08709124289453,3.535368109733466,28.971170759759843,30.151767417788506,31.01894287392497
16_large_agg_np,5,4.5,1,16_large_agg,True,60.13401367748156,4.0713621891513325,58.03824076335877,58.94953313283622,59.6127722999081
17_left_join_np,5,4.5,1,17_left_join,True,101.84574230523428,6.924940062778058,96.2113918800296,97.03561649098992,107.66699729658848
17_left_join_pp,5,4.5,1,17_left_join,False,28.09020878334449,3.1495718369847165,26.38844155294633,27.31956616416573,28.89123909175396
18_merge_join_np,5,4.5,1,18_merge_join,True,46.56045649334828,11.780752198580355,37.77405107021332,40.72098319977522,53.071481678454575
18_merge_join_pp,5,4.5,1,18_merge_join,False,7.7624203516754875,2.290840815189486,5.928328342735767,6.408024251461029,9.299766830076354
20_nested_loops_np,5,4.5,1,20_nested_loops,True,41.02298747363859,2.687296803393261,39.15400578454137,41.13543795628205,43.08822951246797
20_nested_loops_pp,5,4.5,1,20_nested_loops,False,8.514773668856522,3.6492936066228996,6.3389517441391945,6.768367522867828,8.418105647759607
