UDF,RK,PC,RD,type,is_np,mean,std,q1,median,q3
10_intersect_np,5,3.0,3,10_intersect,True,529.2216828349502,62.99934161536536,493.4745183401203,523.995656993946,573.5748209562155
10_intersect_pp,5,3.0,3,10_intersect,False,92.97713698069656,7.218697982870003,88.4273880096912,93.9783375672996,99.48412825643715
16_large_agg_fp,5,3.0,3,16_large_agg,False,87.66692372551188,10.029712973590211,81.25608138740063,82.08882304094732,88.80331929773092
16_large_agg_np,5,3.0,3,16_large_agg,True,177.73489297786728,11.5412008534993,166.27162142284214,176.7982848379761,187.84190225880593
17_left_join_np,5,3.0,3,17_left_join,True,349.57086364238603,9.64624483503462,346.12476468600346,348.6225431524217,354.0225390698761
17_left_join_pp,5,3.0,3,17_left_join,False,105.31028167872822,5.035349518399042,101.38141288422051,105.2455578036186,106.27886155899634
18_merge_join_np,5,3.0,3,18_merge_join,True,119.56118143774071,51.9510493691916,94.36807547557635,96.32713155075908,107.01208694051704
18_merge_join_pp,5,3.0,3,18_merge_join,False,11.163570333136802,2.5250430282995855,11.74182527884841,11.94123113885458,12.275848639586657
20_nested_loops_np,5,3.0,3,20_nested_loops,True,90.70441244758548,1.7364104009380779,89.24673222191632,89.88276741324079,92.00737558261321
20_nested_loops_pp,5,3.0,3,20_nested_loops,False,11.39391912562312,2.8764591396911707,9.613086289949395,11.631144691258667,12.72669642791152
