UDF,RK,PC,RD,type,is_np,mean,std,q1,median,q3
10_intersect_np,5,6.0,1,10_intersect,True,141.48804511269554,2.8043893662596147,139.3813122054562,140.6533144917339,144.04935871902853
10_intersect_pp,5,6.0,1,10_intersect,False,27.530667648185045,5.963793879579062,24.401650268584486,25.11073352769017,27.29765596054494
16_large_agg_fp,5,6.0,1,16_large_agg,False,31.43658292479813,3.60776227500744,29.67438631784171,30.68948731571436,30.93745224364102
16_large_agg_np,5,6.0,1,16_large_agg,True,59.29022379266098,4.487526686901945,57.20630187448114,57.44067945703864,58.27815421205014
17_left_join_np,5,6.0,1,17_left_join,True,96.79636670017315,8.54433565599751,91.81926525570452,94.88076359406114,100.84247334960187
17_left_join_pp,5,6.0,1,17_left_join,False,29.1777192490342,5.8219563825351734,27.891134653240446,28.83277698233724,31.63958390615677
18_merge_join_np,5,6.0,1,18_merge_join,True,36.61390579226061,5.223505858672857,35.54320598579943,38.181755896657705,39.30928778257456
18_merge_join_pp,5,6.0,1,18_merge_join,False,6.165929590150283,1.5410012600630403,5.209005889399309,5.657842632383108,6.081360904499888
20_nested_loops_np,5,6.0,1,20_nested_loops,True,40.30687813288472,2.958883018836692,38.11174279478752,40.08213123072008,41.77317145497966
20_nested_loops_pp,5,6.0,1,20_nested_loops,False,10.493161679725075,4.835005376409395,6.203151574358344,7.908756143672802,14.253229075489063
