UDF,RK,PC,RD,type,is_np,mean,std,q1,median,q3
10_intersect_np,4,6.0,9,10_intersect,True,1161.7730946133402,52.56176438815475,1127.2172978926835,1145.2707495242494,1176.6480842232488
10_intersect_pp,4,6.0,9,10_intersect,False,175.2575186300951,6.593719875118669,171.87066706810757,172.2925257026443,174.14389441761443
16_large_agg_fp,4,6.0,9,16_large_agg,False,227.3483592871258,3.6576237645269467,227.1784476457934,227.9863851654188,229.21660345433565
16_large_agg_np,4,6.0,9,16_large_agg,True,492.0432263558816,6.063918066079443,486.728159891984,489.00042403878035,498.6259641874144
17_left_join_np,4,6.0,9,17_left_join,True,784.691107905012,59.08183791263747,726.2892458299175,783.4890254889175,816.8341444133508
17_left_join_pp,4,6.0,9,17_left_join,False,223.3951316352486,5.509576525781378,218.33017392456532,223.58830369971804,226.2737387975077
18_merge_join_np,4,6.0,9,18_merge_join,True,256.96077656896387,8.772043181208083,250.87993268926368,253.54287098539265,258.3271796684444
18_merge_join_pp,4,6.0,9,18_merge_join,False,32.11412924413325,4.678508845545806,29.80027035344392,31.59014038735407,34.447117610067075
20_nested_loops_np,4,6.0,9,20_nested_loops,True,251.99096419714107,4.31674256539715,248.37166017766714,251.7520224885489,253.34330735767938
20_nested_loops_pp,4,6.0,9,20_nested_loops,False,33.20036034951261,5.28936149098735,30.82501695338484,31.469162710011005,34.28188102661873
