UDF,RK,PC,RD,type,is_np,mean,std,q1,median,q3
10_intersect_np,4,3.0,9,10_intersect,True,1152.8751805380468,2.917210111154869,1150.7225483754669,1152.314678514068,1154.7157874507157
10_intersect_pp,4,3.0,9,10_intersect,False,179.65425614263003,8.109546497395742,172.95202086027712,180.64536128508468,186.68163008969725
16_large_agg_fp,4,3.0,9,16_large_agg,False,233.891321555505,8.240402014641058,228.20731767554244,231.02947101928294,241.51448783083876
16_large_agg_np,4,3.0,9,16_large_agg,True,490.9616354475577,5.331045107622153,486.82048218976706,487.9301033288972,494.3580326609457
17_left_join_np,4,3.0,9,17_left_join,True,776.5336394708967,63.395607364749814,733.4672412918881,744.528788804217,810.702709509832
17_left_join_pp,4,3.0,9,17_left_join,False,227.8319609982105,9.004259108393114,219.56000105757266,227.49013087833407,234.82528771108625
18_merge_join_np,4,3.0,9,18_merge_join,True,252.77609910227437,10.88365306505671,248.7647043501119,252.20339793275969,253.39227131567898
18_merge_join_pp,4,3.0,9,18_merge_join,False,32.319428808436754,4.54195538928358,30.300544777885083,31.40230704904,35.11837997620641
20_nested_loops_np,4,3.0,9,20_nested_loops,True,250.91315093972395,7.379551761647661,246.38147674210936,249.40763849640706,253.8360672946613
20_nested_loops_pp,4,3.0,9,20_nested_loops,False,32.89587694947399,1.9008552080987446,31.30697305314243,32.66547447762432,33.95601643639894
