UDF,RK,PC,RD,type,is_np,mean,std,q1,median,q3
10_intersect_np,5,3.0,9,10_intersect,True,1230.9154579476453,113.90529153769637,1150.7194512505084,1157.0585262477398,1294.924592065625
10_intersect_pp,5,3.0,9,10_intersect,False,159.66802480071783,6.95786750334327,156.9738556155935,157.51802252419293,157.73347139451653
16_large_agg_fp,5,3.0,9,16_large_agg,False,226.14947346039114,5.22055961186674,223.59216420724977,224.55199539288878,225.39634436368948
16_large_agg_np,5,3.0,9,16_large_agg,True,484.3139149285853,3.941668993375973,482.10586237348616,483.01505003497005,484.7754915673286
17_left_join_np,5,3.0,9,17_left_join,True,733.8850864477944,23.253313733229152,715.1553088333458,724.2959153801203,747.1379062543003
17_left_join_pp,5,3.0,9,17_left_join,False,201.98933821305542,3.969717964833511,199.44877319037914,202.016116309911,205.2762118125122
18_merge_join_np,5,3.0,9,18_merge_join,True,262.8741617823752,14.604123267432364,249.79310504798468,253.40058517083528,277.5389985406514
18_merge_join_pp,5,3.0,9,18_merge_join,False,30.106876841154705,4.931026961883478,27.842104942034325,28.019778572022915,29.06875961646438
20_nested_loops_np,5,3.0,9,20_nested_loops,True,247.70391828927987,5.5832622089921875,245.04444561953838,247.3238310143352,247.73942254202643
20_nested_loops_pp,5,3.0,9,20_nested_loops,False,32.06586772796175,5.699164513661752,30.0849576164037,30.279568783938885,31.33115026851678
