UDF,RK,PC,RD,type,is_np,mean,std,q1,median,q3
10_intersect_np,5,6.0,9,10_intersect,True,1165.4506776291105,52.29663355365048,1134.980460303607,1141.0130679830909,1163.3485344662843
10_intersect_pp,5,6.0,9,10_intersect,False,161.40616772323725,8.548574933518852,155.82379923254987,156.06926408037543,163.55057216568616
16_large_agg_fp,5,6.0,9,16_large_agg,False,235.52785430853987,2.7543210737112305,233.81707961112258,236.4299997671606,237.84480092077973
16_large_agg_np,5,6.0,9,16_large_agg,True,487.53236745920066,7.707331290507962,482.3823499448829,483.9316439684801,492.14460188036287
17_left_join_np,5,6.0,9,17_left_join,True,735.4586455433306,17.65201094679055,721.6117290463299,730.3764103055,743.4255940234673
17_left_join_pp,5,6.0,9,17_left_join,False,197.0074256568652,4.957036720954292,195.45755293885782,195.626870598644,196.14122589305043
18_merge_join_np,5,6.0,9,18_merge_join,True,249.03193875038434,11.36455723992782,243.60546620190144,244.1484722904861,246.89190116937104
18_merge_join_pp,5,6.0,9,18_merge_join,False,32.88433022674606,4.919165448838864,29.742690838873386,31.00728996098041,34.77731849398796
20_nested_loops_np,5,6.0,9,20_nested_loops,True,248.2950958180888,3.719613388084594,245.34305918216705,248.20079178450965,250.65227461952298
20_nested_loops_pp,5,6.0,9,20_nested_loops,False,29.328869323871498,0.5283717486755144,28.951263808021903,29.272120963782072,29.69832125973331
