UDF,RK,PC,RD,type,is_np,mean,std,q1,median,q3
10_intersect_np,3,3.0,3,10_intersect,True,461.93807154378845,6.068863225276999,457.165924890342,460.5323913736245,467.6053794035673
10_intersect_pp,3,3.0,3,10_intersect,False,93.3168797821404,2.956655516433883,90.83164027132649,92.99151367924048,94.78874772765433
16_large_agg_fp,3,3.0,3,16_large_agg,False,88.40386463230173,3.393505812762675,85.58093665729209,89.06546833924949,91.42731480680823
16_large_agg_np,3,3.0,3,16_large_agg,True,184.0511057503959,5.5989496898213895,182.04898929223418,185.7508462659413,187.8617617589121
17_left_join_np,3,3.0,3,17_left_join,True,276.19026366244015,4.415249227407596,272.86630197604535,274.9766612696325,279.10793685447425
17_left_join_pp,3,3.0,3,17_left_join,False,100.89235880651728,4.293566856110734,97.90850416707238,100.99918489972254,103.16249412865274
18_merge_join_np,3,3.0,3,18_merge_join,True,97.15283275929411,1.6259956737920764,95.96680159457367,96.87570565842094,97.34754489082995
18_merge_join_pp,3,3.0,3,18_merge_join,False,16.360278157918774,1.5509674377580476,15.121950104428787,16.42945148880269,17.201371135250973
20_nested_loops_np,3,3.0,3,20_nested_loops,True,98.57560887810914,3.3806187311418614,95.71306148730217,97.32613605282899,102.32257939079092
20_nested_loops_pp,3,3.0,3,20_nested_loops,False,15.522060970402652,1.1245980957826165,14.635721179037114,15.878423355009625,16.248389923013747
