baza_danych,RK,PC,RD,UDF,etykieta
cassandra,4,6,4.5,16_large_agg,0.7168130380875186
cassandra,4,6,4.5,17_left_join,0.6040359968586837
cassandra,4,6,4.5,20_nested_loops,0.5143893112578733
cassandra,4,6,4.5,10_intersect,0.6336694155096351
cassandra,4,6,6.0,18_merge_join,0.4903985556085714
cassandra,4,6,6.0,16_large_agg,0.7190841516064135
cassandra,4,6,6.0,17_left_join,0.6312800971440966
cassandra,4,6,6.0,20_nested_loops,0.5369908235440275
cassandra,4,6,6.0,10_intersect,0.6447503825552445
cassandra,4,9,3.0,18_merge_join,0.5053129548723133
cassandra,4,9,3.0,16_large_agg,0.6659300868269353
cassandra,4,9,3.0,17_left_join,0.6207694278816347
cassandra,4,9,3.0,20_nested_loops,0.48789785848509293
cassandra,4,9,3.0,10_intersect,0.6079398781526523
cassandra,4,9,4.5,18_merge_join,0.48149081234596713
cassandra,4,9,4.5,16_large_agg,0.6444537975266857
cassandra,4,9,4.5,17_left_join,0.6267897338440604
cassandra,4,9,4.5,20_nested_loops,0.4561546192492944
cassandra,4,9,4.5,10_intersect,0.5891123109526655
cassandra,4,9,6.0,18_merge_join,0.4957440998990168
cassandra,4,9,6.0,16_large_agg,0.6408325357299737
cassandra,4,9,6.0,17_left_join,0.6352779122029436
cassandra,4,9,6.0,20_nested_loops,0.4667367405959572
cassandra,4,9,6.0,10_intersect,0.5996041794335857
cassandra,5,1,3.0,18_merge_join,0.681028487142832
cassandra,5,1,3.0,16_large_agg,0.7995490349530004
cassandra,5,1,3.0,17_left_join,0.6326232346914151
cassandra,5,1,3.0,20_nested_loops,0.7014510629455071
cassandra,5,1,3.0,10_intersect,0.582702193726542
cassandra,5,1,4.5,18_merge_join,0.6778377444049031
cassandra,5,1,4.5,16_large_agg,0.7839705996335273
cassandra,5,1,4.5,17_left_join,0.6421270844421038
cassandra,5,1,4.5,20_nested_loops,0.7047839099461888
cassandra,5,1,4.5,10_intersect,0.5803448879767333
cassandra,5,1,6.0,18_merge_join,0.6815110103892534
cassandra,5,1,6.0,16_large_agg,0.7851595400310171
cassandra,5,1,6.0,17_left_join,0.6354402590209669
cassandra,5,1,6.0,20_nested_loops,0.6786615198235827
cassandra,5,1,6.0,10_intersect,0.5434894621073192
cassandra,5,3,3.0,18_merge_join,0.5447695395413358
