UDF,RK,PC,RD,type,is_np,mean,std,q1,median,q3
10_intersect_np,4,4.5,9,10_intersect,True,1149.3477665623172,6.128857013329115,1147.3038335070326,1148.4175176824629,1152.81619095216
10_intersect_pp,4,4.5,9,10_intersect,False,178.41473715338105,6.064892298599607,173.26805474609137,178.08185304224764,182.70379287295324
16_large_agg_fp,4,4.5,9,16_large_agg,False,232.64102648398256,2.0021641192224364,231.1694906166254,232.50198609353828,234.1100028143298
16_large_agg_np,4,4.5,9,16_large_agg,True,482.6108567815576,5.797321319474774,478.5761041338071,480.80459393560886,484.7597820609717
17_left_join_np,4,4.5,9,17_left_join,True,723.3493641199789,6.063984362930495,719.0129483691088,721.253972248367,726.1912523532707
17_left_join_pp,4,4.5,9,17_left_join,False,226.79625003946845,8.656127195048755,219.58647298254078,227.05135321742642,234.02138910400555
18_merge_join_np,4,4.5,9,18_merge_join,True,250.76452933491115,3.374924429096238,249.61861722730816,251.76321836650283,253.26901915059295
18_merge_join_pp,4,4.5,9,18_merge_join,False,32.819183563355466,4.229385210221964,29.423640344291925,30.390207859736314,36.39057494440005
20_nested_loops_np,4,4.5,9,20_nested_loops,True,258.8528649821592,6.794032651501648,252.59243892226368,257.68647133949304,264.91302958072146
20_nested_loops_pp,4,4.5,9,20_nested_loops,False,34.122415626784885,4.1791810206331785,31.21445031184703,32.81622060047144,35.40454077478707
