UDF,RK,PC,RD,type,is_np,mean,std,q1,median,q3
10_intersect_np,3,6.0,6,10_intersect,True,802.1746418770656,27.420886146080765,799.3662807794587,811.1438118005532,821.4466610529122
10_intersect_pp,3,6.0,6,10_intersect,False,82.69559126173061,1.9291262139232654,80.80031140027572,82.65289723365098,84.8189208214503
16_large_agg_fp,3,6.0,6,16_large_agg,False,22.174207545237575,0.9889171496889737,21.96851373586108,22.18398722898482,22.431197812227158
16_large_agg_np,3,6.0,6,16_large_agg,True,369.8410051040412,10.111402540675202,366.70699165825937,369.35698905943536,376.4433703493063
17_left_join_np,3,6.0,6,17_left_join,True,508.2460983074573,6.573870535121808,504.46373407183296,506.0215109711645,515.7537390483478
17_left_join_pp,3,6.0,6,17_left_join,False,102.22232734442797,3.7449969849807405,99.407051956375,101.83638476985011,105.8116116673346
18_merge_join_np,3,6.0,6,18_merge_join,True,190.9682453368738,6.437601234945846,186.4062321833076,192.54437738166,194.32486597076056
18_merge_join_pp,3,6.0,6,18_merge_join,False,30.601743463775946,0.8388540544449146,29.75858268146312,30.6150960007846,30.855554946241075
20_nested_loops_np,3,6.0,6,20_nested_loops,True,195.46564455765488,5.550253380792121,191.7898677844132,194.5135763905389,201.1708779402408
20_nested_loops_pp,3,6.0,6,20_nested_loops,False,29.107369646906662,1.300233163340811,28.75689903762851,28.807525578810555,30.20923301950097
