UDF,RK,PC,RD,type,is_np,mean,std,q1,median,q3
10_intersect_np,5,3.0,3,10_intersect,True,509.7399640341671,1.107733665172487,508.6501989625394,510.2857814989984,510.6944652743358
10_intersect_pp,5,3.0,3,10_intersect,False,55.81908188220072,0.9102331140324066,55.63976775570399,55.99440796737447,56.06601101086013
16_large_agg_fp,5,3.0,3,16_large_agg,False,14.115047427803718,1.4559050201755577,12.757748506963251,14.123575137869702,15.145653114786356
16_large_agg_np,5,3.0,3,16_large_agg,True,220.98960017793928,0.9097986799379154,220.3282442261932,220.86710967322367,221.3123755790293
17_left_join_np,5,3.0,3,17_left_join,True,322.3307426397396,2.1142997509644075,320.8092044328402,321.1974585163945,324.5289724469185
17_left_join_pp,5,3.0,3,17_left_join,False,65.63265862780558,1.0992326143340694,64.85799718498379,65.4727817364037,66.44789632037282
18_merge_join_np,5,3.0,3,18_merge_join,True,123.32440555716873,1.4234629042613665,122.35215426095267,122.85197534039617,124.70727872475982
18_merge_join_pp,5,3.0,3,18_merge_join,False,22.834264680271733,1.021048963874261,21.87491510069237,23.06139959767461,23.75168601876389
20_nested_loops_np,5,3.0,3,20_nested_loops,True,123.96547386158903,0.5922797106936227,123.43361868904042,124.00411144644022,124.35805214568973
20_nested_loops_pp,5,3.0,3,20_nested_loops,False,23.061798371843842,1.4127624425972127,22.397654755438445,22.701341191333107,24.11854660883546
