UDF,RK,PC,RD,mean,std,q1,median,q3
18_merge_join_np,3,3.0,3,106.2526346938339,1.6301349948736195,104.70607095211744,106.73602165402066,107.33089880645277
18_merge_join_pp,3,3.0,3,22.085823462942034,1.1147609293727403,21.30343380559568,22.26603602617979,23.04275887923378
18_merge_join_np,3,4.5,3,109.15322039149845,1.3349765002228213,108.36624963918352,108.5512827163223,110.14900391295642
18_merge_join_pp,3,4.5,3,22.418424484515917,0.7372474913682797,22.29176870311304,22.48073640093208,22.950228390403275
18_merge_join_np,3,6.0,3,102.20479273078904,4.390607521728339,98.2103290947746,103.50232270130522,105.36199817289952
18_merge_join_pp,3,6.0,3,22.496858328557025,0.922513325556556,21.886295429950252,22.643409268801065,22.99839757133308
18_merge_join_np,4,3.0,3,136.7828846114676,2.07445956117462,135.09366555511951,135.64204716309905,137.88265711275534
18_merge_join_pp,4,3.0,3,23.77053427168163,1.641926771767309,23.46091153845191,24.1113279439383,24.44325089082122
18_merge_join_np,4,4.5,3,135.49607751057007,4.707957635020657,131.4392983048121,134.20537020767122,139.50125925622504
18_merge_join_pp,4,4.5,3,22.551571146954927,0.999520389832416,21.790667488013643,22.365787324070038,23.31885832740867
18_merge_join_np,4,6.0,3,131.11931090803552,4.039149076241601,127.67135155485067,131.7059340460009,134.4674634369151
18_merge_join_pp,4,6.0,3,22.96019060985147,1.1002737605074637,21.720368703295176,22.93184226921516,23.95424494657369
18_merge_join_np,5,3.0,3,123.32440555716873,1.4234629042613665,122.35215426095267,122.85197534039617,124.70727872475982
18_merge_join_pp,5,3.0,3,22.834264680271733,1.021048963874261,21.87491510069237,23.06139959767461,23.75168601876389
18_merge_join_np,5,4.5,3,120.58997336137749,3.7155987805179755,117.48045302255731,120.7804109071824,123.44384003058076
18_merge_join_pp,5,4.5,3,23.22666008322692,1.117522261721828,22.618373907087285,23.055971349728484,23.997793685644865
18_merge_join_np,5,6.0,3,118.50490053406429,6.430449901884991,113.44808739191625,118.60808874627132,124.2477350929498
18_merge_join_pp,5,6.0,3,21.669380309807664,0.6123981403322725,21.320685509567223,21.63175600519885,22.168221881305847
