UDF,RK,PC,RD,type,is_np,mean,std,q1,median,q3
10_intersect_np,5,6.0,9,10_intersect,True,1516.1766056056858,12.089035942618356,1506.254050271879,1511.6283980188284,1529.4498116721386
10_intersect_pp,5,6.0,9,10_intersect,False,116.55120598769446,2.197431821359753,115.37729148872454,116.16317879170698,119.045147165763
16_large_agg_fp,5,6.0,9,16_large_agg,False,22.202184060453,0.5616584485036002,22.000497813138743,22.339365747415822,22.510968398823213
16_large_agg_np,5,6.0,9,16_large_agg,True,659.3656033631659,12.290699901480117,651.7126974605858,660.036032653136,668.5879193992743
17_left_join_np,5,6.0,9,17_left_join,True,892.6094400768429,17.38229417865657,880.1079150263412,881.7311532718034,907.596484725893
17_left_join_pp,5,6.0,9,17_left_join,False,163.00122692481173,2.6506358665065264,162.0188634935032,163.34241145488966,165.29070312659928
18_merge_join_np,5,6.0,9,18_merge_join,True,350.5357640011256,7.980615879065657,343.5857872353799,350.4168206965475,355.5531915571653
18_merge_join_pp,5,6.0,9,18_merge_join,False,34.33622823115204,1.0397427397137884,33.323590419694455,34.343914080025165,34.98971951007843
20_nested_loops_np,5,6.0,9,20_nested_loops,True,345.0944745811878,11.889853215789689,334.6792649736252,345.78251111098274,351.29844474042113
20_nested_loops_pp,5,6.0,9,20_nested_loops,False,39.16819786983127,1.6626322157367608,37.63748653353774,39.63884255273245,40.22306713652712
