UDF,RK,PC,RD,type,is_np,mean,std,q1,median,q3
10_intersect_np,3,4.5,3,10_intersect,True,423.3356960697928,10.119256525149302,415.8905908981333,429.2412533164024,430.7894337531664
10_intersect_pp,3,4.5,3,10_intersect,False,54.981237867966236,1.3481040235935204,53.97136638435146,55.01938042463154,55.75495937466621
16_large_agg_fp,3,4.5,3,16_large_agg,False,17.19014461738597,0.4942345679760161,16.715132603759084,17.0685415740398,17.544155499830183
16_large_agg_np,3,4.5,3,16_large_agg,True,175.54383609626927,6.053564901909191,174.29503625867395,175.8084063013057,176.45060640101
17_left_join_np,3,4.5,3,17_left_join,True,279.4727503052315,17.492340678489818,261.5942682026445,279.55554878980166,296.0931115263717
17_left_join_pp,3,4.5,3,17_left_join,False,63.8186638297251,1.4501475913469366,62.87582741640498,64.48910601666034,65.03137352681846
18_merge_join_np,3,4.5,3,18_merge_join,True,109.15322039149845,1.3349765002228213,108.36624963918352,108.5512827163223,110.14900391295642
18_merge_join_pp,3,4.5,3,18_merge_join,False,22.418424484515917,0.7372474913682797,22.29176870311304,22.48073640093208,22.950228390403275
20_nested_loops_np,3,4.5,3,20_nested_loops,True,101.11356464904357,3.462032035588307,100.34771064405156,101.6507491339908,103.09141992791623
20_nested_loops_pp,3,4.5,3,20_nested_loops,False,23.595475745372124,0.5715481834816373,23.23506502230632,23.724550679326057,24.02907980814385
